EmployeeID,FirstName,LastName,Gender,Age,MaritalStatus,Education,Department,JobTitle,JobLevel,ManagerID,Location,WorkArrangement,HireDate,TerminationDate,EmploymentStatus,TerminationType,TerminationReason,CurrentSalary,YearsAtCompany
EMP00093,Sarah,Nguyen,Female,43.0,Divorced,Bachelor's Degree,Sales, Director of Sales ,Director,EMP01646,"Chicago, IL",Hybrid,2026-07-07,,Active,,,218000,0.06
EMP00094,Leilani,Anderson,Female,26.0,Single,Master's Degree,Sales, Account Executive ,Mid-Level,,"New York, NY",Onsite,2024-07-17,,Active,,,89000,2.03
EMP00095,Liam,Kim,Male,24.0,Married,Bachelor's Degree,Engineering,Senior Software Engineer,Senior,EMP00328,"Denver, CO",Onsite,2025-05-12,,Active,,,180000,1.21
EMP00096,Laura,Williams,Female,28.0,Married,Master's Degree,Engineering,Senior Software Engineer,Senior,EMP00638,Remote,Remote,2024-09-09,2024-11-02,Terminated,Voluntary,Better Opportunity Elsewhere,160500,0.15
EMP00097,Ngozi,Adams,Female,33.0,Married,Master's Degree,Engineering,Software Engineer II,Mid-Level,EMP01133,"San Francisco, CA",Hybrid,2024-08-15,2026-06-29,Terminated,Voluntary,Better Opportunity Elsewhere,106000,1.87
EMP00098,Grace,Perez,Female,29.0,Single,Bachelor's Degree,Sales,Account Executive,Mid-Level,EMP01049,"San Francisco, CA",Onsite,2023-01-18,,Active,,,89500,3.52
EMP00099,Angela,Souza,Female,25.0,Married,High School,Engineering,Software Engineer I,Entry-Level,EMP00776,"San Francisco, CA",Onsite,2025-08-21,2026-02-18,Terminated,Involuntary,Budget Reduction,81500,0.5
EMP00100,Laura,Ahmed,Female,25.0,Married,Bachelor's Degree,Sales,Account Executive,Mid-Level,EMP01716,"San Francisco, CA",Hybrid,2025-05-13,,Active,,,85500,1.21
EMP00101,Raj,Campbell,Male,44.0,Single,High School,Executive,Chief of Staff,VP,EMP01180,"Austin, TX",Hybrid,2023-03-30,2023-04-15,Terminated,Voluntary,Better Opportunity Elsewhere,442000,0.04
EMP00102,Lucia,Lopez,Female,25.0,Single,Bachelor's Degree,Design,Product Designer,Mid-Level,EMP00639,"Chicago, IL",Hybrid,2024-08-21,2024-12-26,Terminated,Voluntary,Better Opportunity Elsewhere,84500,0.35
EMP00103,Charles,Kumar,Male,,Married,Master's Degree,Sales,Sales Development Rep,Entry-Level,EMP00304,"San Francisco, CA",Onsite,2026-05-30,,Active,,,78000,0.16
EMP00104,Avery,Wilson,Non-binary,26.0,Single,Bachelor's Degree,Design,Senior Product Designer,Senior,EMP01574,Remote,Remote,2024-06-08,2026-02-02,Terminated,Voluntary,Work-Life Balance,164500,1.65
EMP00105,Justin,Young,Male,42.0,Divorced,Associate's Degree,Marketing,Senior Marketing Manager,Senior Manager,EMP00143,"San Francisco, CA",Onsite,2024-01-14,,Active,,,191500,2.54
EMP00106,Lucas,Kumar,Male,33.0,Single,Bachelor's Degree,People,People Team Lead,Manager,EMP00174,"San Francisco, CA",Onsite,2025-05-08,,Active,,,167500,1.22
EMP00107,Carlos,Bernard,Male,41.0,Divorced,Master's Degree,People,People Team Lead,Manager,EMP00174,"San Francisco, CA",Hybrid,2026-07-14,,Active,,,143000,0.04
EMP00108,Natalie,Kim,Female,34.0,Single,Master's Degree,Legal,Senior Counsel,Staff,EMP01465,Remote,Remote,2024-06-07,,Active,,,200500,2.14
EMP00109,Adrian,Levi,Male,,Single,Associate's Degree,Engineering,Software Engineer II,Mid-Level,EMP00256,"New York, NY",Hybrid,2025-10-23,,Active,,,97000,0.76
EMP00110,John,Hernandez,Male,31.0,Single,Master's Degree,Marketing,Principal Marketing Specialist,Staff,EMP00129,Remote,Remote,2026-01-12,2026-01-22,Terminated,Voluntary,Compensation,166500,0.03
EMP00111,Amy,Patel,Female,27.0,Married,Bachelor's Degree,Customer Success,Support Associate,Entry-Level,EMP01691,Remote,Remote,2024-06-11,2026-06-15,Terminated,Involuntary,Budget Reduction,66000,2.01
EMP00112,Ashley,Flores,Female,,Married,Associate's Degree,Engineering,Senior Software Engineer,Senior,EMP01322,Remote,Remote,2025-12-22,,Active,,,121500,0.6
EMP00113,Carlos,Baker,Male,30.0,Single,Master's Degree,FINANCE,Senior Financial Analyst,Senior,EMP01102,Remote,Remote,2024-12-22,2025-04-16,Terminated,Voluntary,Relocation,123500,0.31
EMP00114,Wei,Lewis,Male,22.0,Single,High School,engineering,Software Engineer I,Entry-Level,EMP00051,"Austin, TX",Hybrid,2025-09-11,,Active,,,70500,0.88
EMP00115,Lauren,Nelson,Female,40.0,Married,Master's Degree,Customer Success,Strategic CSM,Staff,,Remote,Remote,2025-09-25,2026-07-03,Terminated,Voluntary,Better Opportunity Elsewhere,148000,0.77
EMP00116,Sarah,Perez,Female,47.0,Married,Master's Degree,Engineering,Senior Engineering Manager,Senior Manager,EMP00946,Remote,Remote,2025-06-22,2026-06-01,Terminated,Voluntary,Relocation,196000,0.94
EMP00117,Kimberly,Martinez,Female,33.0,Married,Bachelor's Degree,Design,Product Designer,Mid-Level,EMP00270,Remote,Remote,2023-08-28,,Active,,,103000,2.92
EMP00118,Chioma,Osei,F,35.0,Single,Bachelor's Degree,Customer Success,CS Team Lead,Manager,EMP00524,"Austin, TX",Onsite,2026-03-29,,Active,,,142000,0.33
EMP00119,Alexander,Anderson,M,22.0,Married,Master's Degree,Sales,Sales Development Rep,Entry-Level,EMP00617,"Denver, CO",Hybrid,2024-10-13,,Active,,,79000,1.79
EMP00120,Maria,Levi,Female,26.0,Married,Master's Degree,Design,Senior Product Designer,Senior,EMP01183,"Austin, TX",Onsite,2024-04-18,,Active,,,162000,2.28
EMP00121,Kimberly,Osei,F,34.0,Divorced,Bachelor's Degree,Product,Product Manager,Mid-Level,EMP00452,"San Francisco, CA",Onsite,2023-02-02,2023-05-11,Terminated,Voluntary,Compensation,84500,0.27
EMP00122,Noah,Harris,Male,34.0,Married,Bachelor's Degree,Marketing,Senior Marketing Specialist,Senior,EMP00446,Remote,Remote,2025-08-29,,Active,,,108000,0.91
EMP00123,Amit,Hall,Male,42.0,Single,Bachelor's Degree,Engineering,Senior Engineering Manager,Senior Manager,EMP00218,Remote,Remote,2025-10-21,,Active,,,198000,0.77
EMP00124,Mei,Hall,Female,34.0,Single,Master's Degree,Design,Design Manager,Manager,EMP00127,"Denver, CO",Hybrid,2022-10-15,2025-07-11,Terminated,Voluntary,Personal Reasons,167500,2.74
EMP00125,Ava,Jackson,Female,24.0,Married,Master's Degree,People,Principal People Partner,Staff,EMP00640,Remote,Remote,2025-05-20,,Active,,,177500,1.19
EMP00126,Raj,Walker,Male,21.0,Married,Bachelor's Degree,Marketing,Marketing Specialist,Mid-Level,EMP01216,"Austin, TX",Onsite,2024-06-27,2024-11-06,Terminated,Voluntary,Compensation,95500,0.36
EMP00127,Rebecca,Wilson,Female,38.0,Divorced,Bachelor's Degree,design,Senior Design Manager,Senior Manager,EMP01427,"Austin, TX",Onsite,2025-10-18,,Active,,,162500,0.77
EMP00128,Rachel,Jackson,Female,22.0,Married,High School,Customer Success,Support Associate,Entry-Level,EMP00499,"Denver, CO",Hybrid,2024-03-15,,Active,,,76000,2.37
EMP00129,Andrew,Allen,Male,32.0,Married,Master's Degree,Marketing,Marketing Manager,Manager,EMP00569,"New York, NY",Onsite,2025-11-19,2026-02-28,Terminated,Voluntary,Personal Reasons,159500,0.28
EMP00130,Angela,Sanchez,Female,28.0,Single,High School,People,HR Generalist,Mid-Level,EMP00657,Remote,Remote,2025-01-23,,Active,,,88000,1.51
EMP00131,Chloe,Thompson,Female,29.0,Single,High School,Sales,Sales Development Rep,Entry-Level,EMP01554,"San Francisco, CA",Hybrid,2026-06-24,,Active,,,71500,0.09
EMP00132,Zainab,Santos,Female,26.0,Single,High School,Engineering,Senior Software Engineer,Senior,EMP01508,"New York, NY",Onsite,2024-01-12,2025-09-16,Terminated,Voluntary,Career Growth,159000,1.68
EMP00133,Omar,Martin,Male,21.0,Single,Master's Degree,engineering,Software Engineer II,Mid-Level,EMP00575,"New York, NY",Onsite,2024-11-13,,Active,,,131500,1.7
EMP00134,Thomas,Martinez,M,24.0,Married,Bachelor's Degree,Engineering,Software Engineer II,Mid-Level,EMP01051,"San Francisco, CA",Hybrid,2023-11-22,2024-03-01,Terminated,Voluntary,Compensation,99000,0.27
EMP00135,Samuel,Thompson,Male,22.0,Single,Bachelor's Degree,Sales,Account Executive,Mid-Level,EMP01253,Remote,Remote,2026-06-11,,Active,,,97000,0.13
EMP00136,Aaliyah,Kone,Female,27.0,Single,PhD,Engineering,Software Engineer I,Entry-Level,EMP00299,"New York, NY",Hybrid,2026-04-05,2026-04-05,Terminated,Voluntary,Work-Life Balance,77500,0.0
EMP00137,Priya,Ali,Female,24.0,Single,Bachelor's Degree,Sales,Sales Development Rep,Entry-Level,EMP01433,"New York, NY",Hybrid,2024-07-29,2025-11-17,Terminated,Involuntary,Policy Violation,69000,1.3
EMP00138,Aaliyah,Andersson,Female,32.0,Single,Bachelor's Degree,Product,Associate Product Manager,Entry-Level,EMP01560,Remote,Remote,2025-10-01,,Active,,,74500,0.82
EMP00139,Mei,Dubois,Female,30.0,Single,PhD,Engineering,Software Engineer II,Mid-Level,EMP01476,"San Francisco, CA",Hybrid,2026-03-24,,Active,,,103000,0.34
EMP00140,Jose,Khan,M,32.0,Married,Bachelor's Degree,People,HR Coordinator,Entry-Level,EMP01276,Remote,Remote,2025-07-03,,Active,,,62000,1.07
